Lake,name_display,island_oikos,in_oikos_core_19,in_focus_23,match_status,group,period,Year,n_taxa_mean,n_taxa_max,n_seasons
Canario,Canário,Sao Miguel,True,True,matched,macro,historical,2009,7.5,9,2
Canario,Canário,Sao Miguel,True,True,matched,macro,historical,2010,4.0,6,4
Canario,Canário,Sao Miguel,True,True,matched,macro,historical,2011,4.75,9,4
Canario,Canário,Sao Miguel,True,True,matched,macro,historical,2012,4.33,7,3
Canario,Canário,Sao Miguel,True,True,matched,macrophyte,historical,2008,3.0,3,1
Canario,Canário,Sao Miguel,True,True,matched,macrophyte,historical,2010,5.0,5,1
Canario,Canário,Sao Miguel,True,True,matched,macrophyte,historical,2011,10.0,10,1
Canario,Canário,Sao Miguel,True,True,matched,macrophyte,historical,2012,12.0,12,1
Canario,Canário,Sao Miguel,True,True,matched,phyto,2018,2018,15.5,17,4
Canario,Canário,Sao Miguel,True,True,matched,phyto,2024,2024,9.25,14,4
Canario,Canário,Sao Miguel,True,True,matched,phyto,2025,2025,6.5,9,4
Canario,Canário,Sao Miguel,True,True,matched,phyto,historical,2003,27.0,27,1
Canario,Canário,Sao Miguel,True,True,matched,phyto,historical,2004,27.33,29,3
Canario,Canário,Sao Miguel,True,True,matched,phyto,historical,2005,35.0,37,2
Canario,Canário,Sao Miguel,True,True,matched,phyto,historical,2006,26.67,37,3
Canario,Canário,Sao Miguel,True,True,matched,phyto,historical,2007,24.0,24,1
Canario,Canário,Sao Miguel,True,True,matched,phyto,historical,2008,32.0,34,3
Canario,Canário,Sao Miguel,True,True,matched,phyto,historical,2009,29.5,34,2
Canario,Canário,Sao Miguel,True,True,matched,phyto,historical,2010,25.25,27,4
Canario,Canário,Sao Miguel,True,True,matched,phyto,historical,2011,25.0,30,4
Canario,Canário,Sao Miguel,True,True,matched,phyto,historical,2012,26.25,27,4
Canario,Canário,Sao Miguel,True,True,matched,zoo,2025,2025,4.0,4,1
Canario,Canário,Sao Miguel,True,True,matched,zoo,historical,2011,9.0,9,1
Capitao,Capitão,Pico,True,True,matched,diatom,2015,2015,19.0,19,1
Capitao,Capitão,Pico,True,True,matched,diatom,2016,2016,24.5,27,3
Capitao,Capitão,Pico,True,True,matched,diatom,2017,2017,24.0,24,1
Capitao,Capitão,Pico,True,True,matched,diatom,2017_2018,2017,21.0,21,1
Capitao,Capitão,Pico,True,True,matched,diatom,2017_2018,2018,27.5,34,2
Capitao,Capitão,Pico,True,True,matched,diatom,2024,2024,29.5,33,4
Capitao,Capitão,Pico,True,True,matched,diatom,2025,2025,22.25,25,4
Capitao,Capitão,Pico,True,True,matched,diatom,historical,2004,40.0,40,1
Capitao,Capitão,Pico,True,True,matched,diatom,historical,2005,27.67,30,3
Capitao,Capitão,Pico,True,True,matched,diatom,historical,2006,28.5,31,4
Capitao,Capitão,Pico,True,True,matched,diatom,historical,2008,28.75,41,4
Capitao,Capitão,Pico,True,True,matched,diatom,historical,2009,20.0,26,2
Capitao,Capitão,Pico,True,True,matched,diatom,historical,2010,22.0,23,2
Capitao,Capitão,Pico,True,True,matched,diatom,historical,2011,25.75,35,4
Capitao,Capitão,Pico,True,True,matched,diatom,historical,2012,25.5,33,4
Capitao,Capitão,Pico,True,True,matched,macro,2018,2018,7.0,7,1
Capitao,Capitão,Pico,True,True,matched,macro,2024,2024,4.5,9,4
Capitao,Capitão,Pico,True,True,matched,macro,2025,2025,4.67,7,3
Capitao,Capitão,Pico,True,True,matched,macro,historical,2004,1.0,1,1
Capitao,Capitão,Pico,True,True,matched,macro,historical,2005,2.5,4,2
Capitao,Capitão,Pico,True,True,matched,macro,historical,2006,4.5,8,2
Capitao,Capitão,Pico,True,True,matched,macro,historical,2008,5.5,9,4
Capitao,Capitão,Pico,True,True,matched,macro,historical,2009,2.0,3,2
Capitao,Capitão,Pico,True,True,matched,macro,historical,2010,3.25,5,4
Capitao,Capitão,Pico,True,True,matched,macro,historical,2011,3.75,6,4
Capitao,Capitão,Pico,True,True,matched,macro,historical,2012,6.5,11,4
Capitao,Capitão,Pico,True,True,matched,macrophyte,historical,2008,4.0,4,1
Capitao,Capitão,Pico,True,True,matched,macrophyte,historical,2010,6.0,6,1
Capitao,Capitão,Pico,True,True,matched,macrophyte,historical,2011,3.0,3,1
Capitao,Capitão,Pico,True,True,matched,macrophyte,historical,2012,13.0,13,1
Capitao,Capitão,Pico,True,True,matched,phyto,2018,2018,19.5,23,4
Capitao,Capitão,Pico,True,True,matched,phyto,2024,2024,15.75,21,4
Capitao,Capitão,Pico,True,True,matched,phyto,2025,2025,7.5,9,4
Capitao,Capitão,Pico,True,True,matched,phyto,historical,2004,26.0,26,1
Capitao,Capitão,Pico,True,True,matched,phyto,historical,2005,29.33,33,3
Capitao,Capitão,Pico,True,True,matched,phyto,historical,2006,16.5,19,4
Capitao,Capitão,Pico,True,True,matched,phyto,historical,2008,24.0,28,4
Capitao,Capitão,Pico,True,True,matched,phyto,historical,2009,20.5,21,2
Capitao,Capitão,Pico,True,True,matched,phyto,historical,2010,21.75,27,4
Capitao,Capitão,Pico,True,True,matched,phyto,historical,2011,21.0,23,4
Capitao,Capitão,Pico,True,True,matched,phyto,historical,2012,24.25,28,4
Capitao,Capitão,Pico,True,True,matched,zoo,2025,2025,4.0,4,1
Capitao,Capitão,Pico,True,True,matched,zoo,historical,2011,11.0,11,1
Caveiro,Caveiro,,False,False,unmatched,macro,2018,2018,0.0,0,1
Comprida,Comprida,Flores,True,True,matched,diatom,2015,2015,27.0,27,1
Comprida,Comprida,Flores,True,True,matched,diatom,2016,2016,26.33,32,3
Comprida,Comprida,Flores,True,True,matched,diatom,2017,2017,29.0,29,1
Comprida,Comprida,Flores,True,True,matched,diatom,2017_2018,2017,22.0,22,1
Comprida,Comprida,Flores,True,True,matched,diatom,2017_2018,2018,26.0,27,2
Comprida,Comprida,Flores,True,True,matched,diatom,2024,2024,29.5,37,4
Comprida,Comprida,Flores,True,True,matched,diatom,2025,2025,31.5,34,4
Comprida,Comprida,Flores,True,True,matched,diatom,historical,2004,36.0,36,1
Comprida,Comprida,Flores,True,True,matched,diatom,historical,2006,29.5,31,2
Comprida,Comprida,Flores,True,True,matched,diatom,historical,2008,17.5,19,2
Comprida,Comprida,Flores,True,True,matched,diatom,historical,2009,28.0,28,1
Comprida,Comprida,Flores,True,True,matched,diatom,historical,2010,22.0,25,2
Comprida,Comprida,Flores,True,True,matched,diatom,historical,2011,35.67,38,3
Comprida,Comprida,Flores,True,True,matched,diatom,historical,2012,32.5,38,4
Comprida,Comprida,Flores,True,True,matched,macro,2018,2018,4.0,4,1
Comprida,Comprida,Flores,True,True,matched,macro,2024,2024,5.25,8,4
Comprida,Comprida,Flores,True,True,matched,macro,2025,2025,3.0,5,4
Comprida,Comprida,Flores,True,True,matched,macro,historical,2004,5.0,5,1
Comprida,Comprida,Flores,True,True,matched,macro,historical,2006,1.0,1,1
Comprida,Comprida,Flores,True,True,matched,macro,historical,2008,2.0,2,1
Comprida,Comprida,Flores,True,True,matched,macro,historical,2010,1.0,1,2
Comprida,Comprida,Flores,True,True,matched,macro,historical,2011,3.33,5,3
Comprida,Comprida,Flores,True,True,matched,macro,historical,2012,2.67,5,3
Comprida,Comprida,Flores,True,True,matched,macrophyte,historical,2010,3.0,3,1
Comprida,Comprida,Flores,True,True,matched,macrophyte,historical,2011,8.0,8,1
Comprida,Comprida,Flores,True,True,matched,macrophyte,historical,2012,13.0,13,1
Comprida,Comprida,Flores,True,True,matched,phyto,2018,2018,17.0,26,4
Comprida,Comprida,Flores,True,True,matched,phyto,2024,2024,8.75,12,4
Comprida,Comprida,Flores,True,True,matched,phyto,2025,2025,7.0,8,4
Comprida,Comprida,Flores,True,True,matched,phyto,historical,2005,20.5,21,2
Comprida,Comprida,Flores,True,True,matched,phyto,historical,2006,16.0,16,2
Comprida,Comprida,Flores,True,True,matched,phyto,historical,2008,21.5,24,2
Comprida,Comprida,Flores,True,True,matched,phyto,historical,2009,20.0,20,1
Comprida,Comprida,Flores,True,True,matched,phyto,historical,2010,17.0,18,2
Comprida,Comprida,Flores,True,True,matched,phyto,historical,2011,19.5,23,4
Comprida,Comprida,Flores,True,True,matched,phyto,historical,2012,15.0,18,4
Comprida,Comprida,Flores,True,True,matched,zoo,2025,2025,4.0,4,1
Comprida,Comprida,Flores,True,True,matched,zoo,historical,2011,6.0,8,2
Comprida,Comprida,Flores,True,True,matched,zoo,historical,2012,11.0,11,2
Congro,Congro,Sao Miguel,True,True,matched,diatom,2015,2015,27.0,27,1
Congro,Congro,Sao Miguel,True,True,matched,diatom,2016,2016,30.67,33,2
Congro,Congro,Sao Miguel,True,True,matched,diatom,2017_2018,2017,25.0,25,1
Congro,Congro,Sao Miguel,True,True,matched,diatom,2017_2018,2018,16.33,17,3
Congro,Congro,Sao Miguel,True,True,matched,diatom,2024,2024,27.0,34,4
Congro,Congro,Sao Miguel,True,True,matched,diatom,2025,2025,26.25,28,4
Congro,Congro,Sao Miguel,True,True,matched,diatom,historical,2003,20.0,20,1
Congro,Congro,Sao Miguel,True,True,matched,diatom,historical,2004,24.5,32,2
Congro,Congro,Sao Miguel,True,True,matched,diatom,historical,2005,18.5,22,2
Congro,Congro,Sao Miguel,True,True,matched,diatom,historical,2006,21.33,27,3
Congro,Congro,Sao Miguel,True,True,matched,diatom,historical,2008,16.67,17,3
Congro,Congro,Sao Miguel,True,True,matched,diatom,historical,2009,19.5,22,2
Congro,Congro,Sao Miguel,True,True,matched,diatom,historical,2010,25.25,32,4
Congro,Congro,Sao Miguel,True,True,matched,diatom,historical,2011,30.33,32,3
Congro,Congro,Sao Miguel,True,True,matched,diatom,historical,2012,25.25,31,4
Congro,Congro,Sao Miguel,True,True,matched,macro,2018,2018,5.0,5,1
Congro,Congro,Sao Miguel,True,True,matched,macro,2024,2024,3.5,6,4
Congro,Congro,Sao Miguel,True,True,matched,macro,2025,2025,4.25,6,4
Congro,Congro,Sao Miguel,True,True,matched,macro,historical,2003,2.0,2,1
Congro,Congro,Sao Miguel,True,True,matched,macro,historical,2004,3.5,4,2
Congro,Congro,Sao Miguel,True,True,matched,macro,historical,2005,2.0,2,2
Congro,Congro,Sao Miguel,True,True,matched,macro,historical,2006,3.0,4,2
Congro,Congro,Sao Miguel,True,True,matched,macro,historical,2008,9.5,11,2
Congro,Congro,Sao Miguel,True,True,matched,macro,historical,2009,8.5,11,2
Congro,Congro,Sao Miguel,True,True,matched,macro,historical,2010,5.25,9,4
Congro,Congro,Sao Miguel,True,True,matched,macro,historical,2011,7.25,9,4
Congro,Congro,Sao Miguel,True,True,matched,macro,historical,2012,10.0,13,4
Congro,Congro,Sao Miguel,True,True,matched,macrophyte,historical,2011,6.0,6,1
Congro,Congro,Sao Miguel,True,True,matched,macrophyte,historical,2012,6.0,6,1
Congro,Congro,Sao Miguel,True,True,matched,phyto,2018,2018,19.75,23,4
Congro,Congro,Sao Miguel,True,True,matched,phyto,2024,2024,11.75,18,4
Congro,Congro,Sao Miguel,True,True,matched,phyto,2025,2025,7.25,9,4
Congro,Congro,Sao Miguel,True,True,matched,phyto,historical,2003,27.0,27,1
Congro,Congro,Sao Miguel,True,True,matched,phyto,historical,2004,21.67,23,3
Congro,Congro,Sao Miguel,True,True,matched,phyto,historical,2005,20.0,23,2
Congro,Congro,Sao Miguel,True,True,matched,phyto,historical,2006,19.33,27,3
Congro,Congro,Sao Miguel,True,True,matched,phyto,historical,2007,19.0,19,1
Congro,Congro,Sao Miguel,True,True,matched,phyto,historical,2008,23.33,29,3
Congro,Congro,Sao Miguel,True,True,matched,phyto,historical,2009,22.0,24,2
Congro,Congro,Sao Miguel,True,True,matched,phyto,historical,2010,23.75,27,4
Congro,Congro,Sao Miguel,True,True,matched,phyto,historical,2011,16.25,22,4
Congro,Congro,Sao Miguel,True,True,matched,phyto,historical,2012,19.0,25,4
Congro,Congro,Sao Miguel,True,True,matched,zoo,2025,2025,6.0,6,1
Congro,Congro,Sao Miguel,True,True,matched,zoo,historical,2011,8.0,11,2
Congro,Congro,Sao Miguel,True,True,matched,zoo,historical,2012,10.0,12,2
Cubres Este,Cubres Este,Sao Jorge,False,False,recent_only,macro,2024,2024,3.0,3,2
Cubres Este,Cubres Este,Sao Jorge,False,False,recent_only,macro,2025,2025,2.0,2,1
Cubres Este,Cubres Este,Sao Jorge,False,False,recent_only,phyto,2018,2018,6.0,6,2
